"10-K","1ST CONSTITUTION BANCORP","1141807","2014-03-31","edgar/data/1141807/0001214659-14-002350.txt"
"10-K","1ST SOURCE CORP","34782","2014-02-21","edgar/data/34782/0000034782-14-000008.txt"
"10-K","1st Century Bancshares, Inc.","1420525","2014-03-07","edgar/data/1420525/0001437749-14-003626.txt"
"10-K","1st FRANKLIN FINANCIAL CORP","38723","2014-03-31","edgar/data/38723/0001376474-14-000084.txt"
"10-K","1st United Bancorp, Inc.","1415277","2014-02-10","edgar/data/1415277/0001171200-14-000011.txt"
"10-K","22nd Century Group, Inc.","1347858","2014-01-30","edgar/data/1347858/0001144204-14-004909.txt"
"10-K","24HOLDINGS INC","1025315","2014-03-26","edgar/data/1025315/0001144204-14-017898.txt"
"10-K","3D SYSTEMS CORP","910638","2014-02-28","edgar/data/910638/0001562762-14-000032.txt"
"10-K","3DICON CORP","1375195","2014-03-31","edgar/data/1375195/0001144204-14-019106.txt"
"10-K","3DX Industries, Inc.","1453122","2014-02-13","edgar/data/1453122/0001554795-14-000100.txt"
"10-K","3M CO","66740","2014-02-13","edgar/data/66740/0001104659-14-009773.txt"
"10-K","3PEA INTERNATIONAL, INC.","1496443","2014-03-28","edgar/data/1496443/0001019687-14-001068.txt"
"10-K","4Licensing Corp","58592","2014-03-31","edgar/data/58592/0001140361-14-014795.txt"
"10-K","4NET SOFTWARE INC","812149","2014-01-10","edgar/data/812149/0001144204-14-001466.txt"
"10-K","5V Inc.","1504876","2014-01-27","edgar/data/1504876/0001213900-14-000465.txt"
"10-K","808 RENEWABLE ENERGY CORP","1467913","2014-03-31","edgar/data/1467913/0001079974-14-000202.txt"
"10-K","A. H. Belo Corp","1413898","2014-03-07","edgar/data/1413898/0001413898-14-000014.txt"
"10-K","AAA CAPITAL ENERGY FUND L.P.","1057051","2014-03-28","edgar/data/1057051/0001193125-14-121709.txt"
"10-K","AAA CAPITAL ENERGY FUND L.P. II","1227268","2014-03-28","edgar/data/1227268/0001193125-14-121658.txt"
"10-K","AAA Energy Opportunities Fund LLC","1529004","2014-03-24","edgar/data/1529004/0001104659-14-022181.txt"
"10-K","AAON INC","824142","2014-03-13","edgar/data/824142/0000824142-14-000015.txt"
"10-K","AARON'S INC","706688","2014-02-24","edgar/data/706688/0000706688-14-000015.txt"
"10-K","AASTROM BIOSCIENCES INC","887359","2014-03-13","edgar/data/887359/0001104659-14-019344.txt"
"10-K","ABBOTT LABORATORIES","1800","2014-02-21","edgar/data/1800/0001047469-14-001176.txt"
"10-K","ABERCROMBIE & FITCH CO /DE/","1018840","2014-03-31","edgar/data/1018840/0001018840-14-000033.txt"
"10-K","ABRAXAS PETROLEUM CORP","867665","2014-03-17","edgar/data/867665/0000867665-14-000017.txt"
"10-K","ACACIA RESEARCH CORP","934549","2014-03-03","edgar/data/934549/0000934549-14-000004.txt"
"10-K","ACADIA PHARMACEUTICALS INC","1070494","2014-02-27","edgar/data/1070494/0001193125-14-073040.txt"
"10-K","ACADIA REALTY TRUST","899629","2014-02-26","edgar/data/899629/0000899629-14-000008.txt"
"10-K","ACCELERIZE NEW MEDIA INC","1352952","2014-03-25","edgar/data/1352952/0001437749-14-005011.txt"
"10-K","ACCELERON PHARMA INC","1280600","2014-03-17","edgar/data/1280600/0001047469-14-002530.txt"
"10-K","ACCELRYS, INC.","1002388","2014-03-10","edgar/data/1002388/0001002388-14-000006.txt"
"10-K","ACCESS MIDSTREAM PARTNERS LP","1483096","2014-02-21","edgar/data/1483096/0001564590-14-000295.txt"
"10-K","ACCESS NATIONAL CORP","1176316","2014-03-14","edgar/data/1176316/0001144204-14-015855.txt"
"10-K","ACCESS PHARMACEUTICALS INC","318306","2014-03-26","edgar/data/318306/0000318306-14-000006.txt"
"10-K","ACCESS US OIL & GAS, INC.","1550956","2014-03-31","edgar/data/1550956/0001096906-14-000417.txt"
"10-K","ACCO BRANDS Corp","712034","2014-02-25","edgar/data/712034/0000712034-14-000011.txt"
"10-K","ACCURIDE CORP","817979","2014-03-06","edgar/data/817979/0000817979-14-000008.txt"
"10-K","ACE Ltd","896159","2014-02-28","edgar/data/896159/0000896159-14-000003.txt"
"10-K","ACELRX PHARMACEUTICALS INC","1427925","2014-03-17","edgar/data/1427925/0001193125-14-102667.txt"
"10-K","ACHILLION PHARMACEUTICALS INC","1070336","2014-03-07","edgar/data/1070336/0001193125-14-089075.txt"
"10-K","ACI WORLDWIDE, INC.","935036","2014-02-28","edgar/data/935036/0001193125-14-076222.txt"
"10-K","ACME UNITED CORP","2098","2014-03-06","edgar/data/2098/0001026608-14-000011.txt"
"10-K","ACNB CORP","715579","2014-03-07","edgar/data/715579/0001047469-14-001965.txt"
"10-K","ACORDA THERAPEUTICS INC","1008848","2014-03-03","edgar/data/1008848/0001008848-14-000011.txt"
"10-K","ACORN ENERGY, INC.","880984","2014-03-17","edgar/data/880984/0000880984-14-000004.txt"
"10-K","ACRO INC.","1228386","2014-03-28","edgar/data/1228386/0001213900-14-001816.txt"
"10-K","ACTIVE POWER INC","1044435","2014-03-04","edgar/data/1044435/0001140361-14-010848.txt"
"10-K","ACTIVECARE, INC.","1429896","2014-01-14","edgar/data/1429896/0001096906-14-000029.txt"
"10-K","ACTUATE CORP","1062478","2014-03-07","edgar/data/1062478/0001193125-14-088985.txt"
"10-K","ACUCELA INC.","1400482","2014-03-28","edgar/data/1400482/0001400482-14-000008.txt"
"10-K","ACURA PHARMACEUTICALS, INC","786947","2014-03-03","edgar/data/786947/0001144204-14-012919.txt"
"10-K","ADAMS RESOURCES & ENERGY, INC.","2178","2014-03-13","edgar/data/2178/0000002178-14-000010.txt"
"10-K","ADB International Group, Inc.","1563536","2014-03-26","edgar/data/1563536/0001295345-14-000059.txt"
"10-K","ADCARE HEALTH SYSTEMS, INC","1004724","2014-03-31","edgar/data/1004724/0001004724-14-000038.txt"
"10-K","ADHEREX TECHNOLOGIES INC","1211583","2014-03-31","edgar/data/1211583/0001144204-14-019399.txt"
"10-K","ADMA BIOLOGICS, INC.","1368514","2014-03-28","edgar/data/1368514/0001193805-14-000641.txt"
"10-K","ADOBE SYSTEMS INC","796343","2014-01-21","edgar/data/796343/0000796343-14-000004.txt"
"10-K","ADS Waste Holdings, Inc.","1585790","2014-03-21","edgar/data/1585790/0001193125-14-110280.txt"
"10-K","ADTRAN INC","926282","2014-02-27","edgar/data/926282/0001193125-14-071988.txt"
"10-K","ADVANCE AUTO PARTS INC","1158449","2014-02-25","edgar/data/1158449/0001158449-14-000058.txt"
"10-K","ADVANCED ENERGY INDUSTRIES INC","927003","2014-03-03","edgar/data/927003/0000927003-14-000012.txt"
"10-K","ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES INC","849706","2014-03-06","edgar/data/849706/0001171843-14-001131.txt"
"10-K","ADVANCED MEDICAL ISOTOPE Corp","1449349","2014-03-31","edgar/data/1449349/0001199835-14-000135.txt"
"10-K","ADVANCED MICRO DEVICES INC","2488","2014-02-18","edgar/data/2488/0001193125-14-057240.txt"
"10-K","ADVENT SOFTWARE INC /DE/","1002225","2014-02-25","edgar/data/1002225/0001047469-14-001313.txt"
"10-K","AEI INCOME & GROWTH FUND 24 LLC","1130758","2014-03-31","edgar/data/1130758/0000868740-14-000015.txt"
"10-K","AEI INCOME & GROWTH FUND 25 LLC","1185198","2014-03-31","edgar/data/1185198/0000868740-14-000016.txt"
"10-K","AEI INCOME & GROWTH FUND XXI LTD PARTNERSHIP","931755","2014-03-31","edgar/data/931755/0000868740-14-000013.txt"
"10-K","AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP","1023458","2014-03-31","edgar/data/1023458/0000868740-14-000014.txt"
"10-K","AEI Income & Growth Fund 26 LLC","1326321","2014-03-31","edgar/data/1326321/0000868740-14-000017.txt"
"10-K","AEI NET LEASE INCOME & GROWTH FUND XIX LIMITED PARTNERSHIP","868740","2014-03-31","edgar/data/868740/0000868740-14-000011.txt"
"10-K","AEI NET LEASE INCOME & GROWTH FUND XX LIMITED PARTNERSHIP","894245","2014-03-31","edgar/data/894245/0000868740-14-000012.txt"
"10-K","AEMETIS, INC","738214","2014-03-11","edgar/data/738214/0001354488-14-001121.txt"
"10-K","AEP INDUSTRIES INC","785787","2014-01-14","edgar/data/785787/0001193125-14-010742.txt"
